offset,dtype,value,confidence,reason
12768,float64,3.55,0.5,finite furniture-like float64
12785,float64,3.55,0.5,finite furniture-like float64
12871,float64,1.0,0.5,finite furniture-like float64
12922,float64,3.55,0.5,finite furniture-like float64
12939,float64,18.0,0.5,finite furniture-like float64
12975,float64,18.0,0.5,finite furniture-like float64
13026,float64,1.0,0.5,finite furniture-like float64
13077,float64,2.25,0.5,finite furniture-like float64
13094,float64,34.0,0.5,finite furniture-like float64
13377,float64,-15.0,0.5,finite furniture-like float64
13394,float64,-40.0,0.5,finite furniture-like float64
13411,float64,15.0,0.5,finite furniture-like float64
13428,float64,15.0,0.5,finite furniture-like float64
13574,float64,1.0,0.5,finite furniture-like float64
13591,float64,1.0,0.5,finite furniture-like float64
13608,float64,2.0,0.5,finite furniture-like float64
13789,float64,1.0,0.5,finite furniture-like float64
13829,float64,1.0,0.5,finite furniture-like float64
13869,float64,1.0,0.5,finite furniture-like float64
13909,float64,1.0,0.5,finite furniture-like float64
16170,float64,-2.0,0.5,finite furniture-like float64
16718,float64,2.0,0.5,finite furniture-like float64
17278,float64,-2.0,0.5,finite furniture-like float64
17614,float64,-2.0,0.5,finite furniture-like float64
18174,float64,2.0,0.5,finite furniture-like float64
21123,float64,-14.99999999999599,0.5,finite furniture-like float64
21147,float64,-14.99999999999599,0.5,finite furniture-like float64
21179,float64,15.000000000004007,0.5,finite furniture-like float64
21203,float64,-14.99999999999599,0.5,finite furniture-like float64
21235,float64,15.000000000004007,0.5,finite furniture-like float64
21259,float64,15.000000000004007,0.5,finite furniture-like float64
21291,float64,15.000000000004007,0.5,finite furniture-like float64
21315,float64,-14.99999999999599,0.5,finite furniture-like float64
21375,float64,-1.0,0.5,finite furniture-like float64
21443,float64,2.0000000000040075,0.5,finite furniture-like float64
21539,float64,-1.9999999999959908,0.5,finite furniture-like float64
21619,float64,-14.999999999995994,0.5,finite furniture-like float64
21643,float64,-14.999999999995994,0.5,finite furniture-like float64
21675,float64,15.000000000004004,0.5,finite furniture-like float64
21699,float64,-14.999999999995994,0.5,finite furniture-like float64
21731,float64,15.000000000004004,0.5,finite furniture-like float64
21755,float64,15.000000000004004,0.5,finite furniture-like float64
21787,float64,15.000000000004004,0.5,finite furniture-like float64
21811,float64,-14.999999999995994,0.5,finite furniture-like float64
21871,float64,-1.0,0.5,finite furniture-like float64
21900,float64,-7408.0,0.5,finite furniture-like float64
21939,float64,2.000000000004004,0.5,finite furniture-like float64
21948,float64,7408.0,0.5,finite furniture-like float64
21972,float64,7408.0,0.5,finite furniture-like float64
21996,float64,7408.0,0.5,finite furniture-like float64
22035,float64,-1.9999999999959943,0.5,finite furniture-like float64
22044,float64,-7408.0,0.5,finite furniture-like float64
22171,float64,-14.999999999995985,0.5,finite furniture-like float64
22195,float64,-14.999999999995985,0.5,finite furniture-like float64
22227,float64,-14.999999999995985,0.5,finite furniture-like float64
22251,float64,-14.99999999999599,0.5,finite furniture-like float64
22283,float64,-14.99999999999599,0.5,finite furniture-like float64
22307,float64,-14.999999999995985,0.5,finite furniture-like float64
22339,float64,-14.999999999995985,0.5,finite furniture-like float64
22363,float64,-14.999999999995985,0.5,finite furniture-like float64
22395,float64,-14.999999999995985,0.5,finite furniture-like float64
22419,float64,-14.999999999995994,0.5,finite furniture-like float64
22451,float64,-14.999999999995994,0.5,finite furniture-like float64
22475,float64,-14.999999999995985,0.5,finite furniture-like float64
22507,float64,15.000000000004015,0.5,finite furniture-like float64
22531,float64,-14.999999999995985,0.5,finite furniture-like float64
22563,float64,15.000000000004015,0.5,finite furniture-like float64
22587,float64,15.000000000004007,0.5,finite furniture-like float64
22619,float64,15.000000000004004,0.5,finite furniture-like float64
22643,float64,15.000000000004015,0.5,finite furniture-like float64
22675,float64,15.000000000004015,0.5,finite furniture-like float64
22699,float64,15.000000000004004,0.5,finite furniture-like float64
22731,float64,15.000000000004015,0.5,finite furniture-like float64
22755,float64,15.000000000004015,0.5,finite furniture-like float64
22787,float64,15.000000000004007,0.5,finite furniture-like float64
22811,float64,15.000000000004015,0.5,finite furniture-like float64
22843,float64,15.000000000004015,0.5,finite furniture-like float64
22867,float64,15.000000000004015,0.5,finite furniture-like float64
22899,float64,15.000000000004015,0.5,finite furniture-like float64
22923,float64,-14.999999999995985,0.5,finite furniture-like float64
22955,float64,15.000000000004015,0.5,finite furniture-like float64
22979,float64,-14.999999999995985,0.5,finite furniture-like float64
23011,float64,15.000000000004015,0.5,finite furniture-like float64
23035,float64,-14.999999999995985,0.5,finite furniture-like float64
23239,float64,1.0,0.5,finite furniture-like float64
23251,float64,1.0000000000000002,0.5,finite furniture-like float64
23371,float64,-0.9999999999999998,0.5,finite furniture-like float64
23491,float64,1.0000000000000002,0.5,finite furniture-like float64
23559,float64,1.0,0.5,finite furniture-like float64
23571,float64,1.0,0.5,finite furniture-like float64
23691,float64,-1.0,0.5,finite furniture-like float64
23811,float64,1.0,0.5,finite furniture-like float64
40260,float64,-18.000000000009866,0.5,finite furniture-like float64
40309,float64,-2.0000000000005684,0.5,finite furniture-like float64
40311,float64,99.0,0.5,finite furniture-like float64
40440,float64,-1.0,0.5,finite furniture-like float64
40457,float64,1.0,0.5,finite furniture-like float64
40474,float64,2.0,0.5,finite furniture-like float64
40595,float64,-1.0,0.5,finite furniture-like float64
40612,float64,1.0,0.5,finite furniture-like float64
40629,float64,2.0,0.5,finite furniture-like float64
40750,float64,-1.0,0.5,finite furniture-like float64
40767,float64,5.0,0.5,finite furniture-like float64
40784,float64,18.00000000001134,0.5,finite furniture-like float64
40835,float64,-2.0000000000005684,0.5,finite furniture-like float64
40854,float64,8.000000000003979,0.5,finite furniture-like float64
40871,float64,1.0,0.5,finite furniture-like float64
40922,float64,8.0,0.5,finite furniture-like float64
